movieId,aveRm
1,3.921
2,3.432
3,3.26
4,2.357
5,3.071
6,3.946
7,3.185
8,2.875
9,3.125
10,3.496
11,3.671
12,2.421
13,3.125
14,3.833
15,3
16,3.927
17,3.776
18,3.7
19,2.727
20,2.5
21,3.494
22,3.222
23,3.125
24,3.125
25,3.625
26,3.5
27,3.333
28,4.227
29,4.013
30,3
31,3.184
32,3.983
34,3.652
36,3.836
38,2.125
39,3.293
40,4.25
41,3.7
42,3
43,3.188
44,2.543
45,3.312
46,3.067
47,3.975
48,3.147
49,3
50,4.238
52,3.464
53,5
54,2.333
55,4
57,3.062
58,4.027
60,3.235
61,3.75
62,3.706
63,2.714
64,2.2
65,2.532
66,2.5
68,3.4
69,3.775
70,3.509
71,1.7
72,3.214
73,3.462
74,4
75,2.2
76,3.4
77,4
78,3.333
79,2.765
80,4
81,3.107
82,3.875
83,3
85,3.857
86,3.967
87,2.5
88,3.156
89,3.25
92,2.625
93,2.833
94,3.95
95,3.024
96,3.5
97,3.9
99,5
100,2.786
101,3.783
102,2.4
103,3
104,3.439
105,3.283
106,4
107,3.327
108,4
110,4.032
111,4.106
112,3.543
113,3.333
116,3.9
117,3
118,2.5
119,3
121,4
122,2.656
123,4.375
125,3.583
126,2
128,3
129,2
132,2.833
135,2.952
137,3
140,3.5
141,3.494
144,3.333
145,3.245
146,3.333
147,3.467
148,5
149,2
150,3.846
151,3.545
152,1.5
153,2.916
154,3.875
155,2.417
156,3.333
157,2.864
158,2.806
159,2.893
160,2.877
161,3.636
162,4.206
163,3.561
164,3.321
165,3.556
166,2.833
168,3.083
169,2.4
170,3.229
171,3.833
172,2.679
173,2.669
174,2.7
175,3.975
176,4.308
177,2.75
178,1
179,1.5
180,3.403
181,2.265
183,3.5
184,3.5
185,3.04
186,2.823
187,4.125
188,3.458
189,3
190,2.8
191,2.417
193,2.471
194,3.667
195,3.1
196,2.667
198,3.25
199,4.125
201,3
202,3
203,3.432
204,2.717
205,3.167
206,3
207,3.429
208,2.913
209,3.167
210,3
211,3.5
212,3
213,3.833
214,4
215,4.042
216,3.327
217,2.333
218,3.429
219,3
220,3
222,3.75
223,3.856
224,3.612
225,3.538
227,2.864
228,2.333
229,3.429
230,3.396
231,3.06
232,3.893
233,3.5
234,2.588
235,3.679
236,3.478
237,3.341
238,4
239,3
240,2.375
241,4
242,3.6
243,3
246,4.293
247,3.929
248,3.176
249,3.722
250,2.5
251,3
252,3.453
253,3.459
254,3
255,2.071
256,2.829
257,3.5
258,2.6
259,3.2
260,4.231
261,3.881
262,3.905
263,4
265,3.939
266,3.397
267,2.941
269,3
270,3.4
271,3.5
272,3.758
273,2.946
274,2.929
275,2
276,3.25
277,3.224
278,1.5
279,3
280,4.077
281,3.786
282,3.337
283,3.667
284,4.5
285,4
287,3
288,3.234
289,3.562
290,4.036
291,2.333
292,3.426
293,4.019
294,3
295,3
296,4.197
298,2
299,4
300,3.519
301,4
302,3.2
303,2.953
304,3.667
305,2.833
306,4.219
307,3.896
308,4.025
310,3
311,3
312,1.444
313,3.333
314,3.75
315,3.079
316,3.375
317,3.204
318,4.429
319,3.6
320,3
321,4
322,3.55
324,4
325,2.5
326,4
327,2.824
328,3.15
329,3.394
330,3
331,3
332,2.833
333,3.78
334,4.2
335,3.5
336,3
337,3.766
338,2.842
339,3.469
340,3.4
341,4
342,3.273
343,2.9
344,3.04
345,3.597
346,3.5
347,3.5
348,3.583
349,3.605
350,3.386
351,3.176
352,2.5
353,3.609
354,3.333
355,2.357
356,4.164
357,3.519
358,2.667
359,3
360,2.688
361,3.059
362,3.529
363,4
364,3.942
365,3.25
366,2.917
367,3.185
368,3.5
369,4
370,3.06
371,3.31
372,2.762
373,3.636
374,2.2
376,3.25
377,3.529
378,2.786
379,2.5
380,3.497
381,3.818
382,3.156
383,3.095
384,3.25
385,4
386,3
387,2.375
388,3
389,4.5
390,3.7
391,4.5
393,2.5
405,2.417
406,3
407,3.438
408,3
409,2
410,3.101
412,3.5
413,2.788
414,2.333
415,2.531
416,2.5
417,3.692
418,3
419,2.675
420,2.72
421,3.208
422,3.2
423,2.85
424,1.833
425,3.75
426,3.143
427,2.542
428,3.722
429,2
430,3.75
431,3.738
432,2.645
433,2.75
434,3.035
435,2.421
436,2.571
437,2.167
438,2.714
440,3.546
441,3.929
442,3.093
444,2.333
445,3
446,3.833
448,3.625
449,1
450,3
451,4
452,3
453,2.8
454,3.535
455,2.392
456,3.75
457,3.992
458,2.8
459,2.25
460,2.667
461,2.75
464,2.9
466,2.867
467,5
468,3.205
469,3.4
470,1
471,3.55
472,2.583
473,1.857
474,3.693
475,4.3
476,1
477,3.382
478,2.5
479,2.25
480,3.75
481,3.158
482,3.625
484,3
485,2.934
486,3
487,2.5
488,3
489,2.864
490,3
491,3.294
492,3.75
493,3.667
494,3.378
495,5
496,5
497,3.814
499,2.5
500,3.389
501,3.667
502,2.367
504,3
505,2.214
506,4.5
507,3.385
508,3.614
509,3.541
510,3
511,3
512,3
513,3.375
514,3.417
515,3.604
516,3.056
517,3.278
518,2.375
519,2.405
520,3.13
521,3.167
522,3.286
523,3.5
524,3.485
526,4
527,4.225
528,2.333
529,3.875
531,3.25
532,3
533,2.889
534,3.607
535,3.267
536,3.333
537,3.167
538,3.583
539,3.472
540,2.667
541,4.101
542,2.786
543,3.317
544,2.438
546,2
547,3.25
548,2.75
549,4.5
550,3.4
551,3.554
552,3.262
553,3.815
555,3.8
556,3.333
558,2.938
562,3.543
563,4
564,1.5
567,2
568,3.5
569,2.667
573,3.5
574,3.25
575,2.656
577,2.125
579,3
580,2.8
581,4
583,4
585,2.736
586,2.996
587,3.435
588,3.792
589,3.971
590,3.835
592,3.429
593,4.161
594,3.617
595,3.771
596,3.45
597,3.485
599,3.818
600,4
602,4
605,3
606,3
608,4.116
609,3.571
610,3.545
611,2.417
612,2.5
613,3.188
615,3
616,3.411
617,2.833
618,3
619,2.6
626,5
627,3.333
628,3.643
631,3.182
632,4
633,5
634,2.25
635,3
636,3
637,3.045
638,3
639,3
640,2.682
645,3.5
647,3.328
648,3.537
649,3
650,3
653,3.092
656,3
661,3.449
662,3.286
663,3.292
665,4.333
667,2.812
668,4.25
670,4.75
671,3.486
673,2.708
674,3.167
678,3.833
679,4
680,4.125
685,4
688,2.333
691,3.333
692,2
694,2.955
695,4
697,2.7
698,1
700,3.214
703,2
704,2.571
706,3
707,2.881
708,3.388
709,3.091
710,2.562
711,3.05
714,3.967
715,3.667
718,4.125
719,2.843
720,4.093
722,4
724,3.032
725,2.5
726,3
728,3.5
731,3.333
733,3.64
735,3.929
736,3.321
737,2.65
741,4.148
742,2.818
743,2.517
745,3.896
747,3.333
748,3.114
750,4.268
757,4
759,3.5
760,4.25
761,2.789
762,2.415
764,3.5
765,3.158
766,3.5
773,3.5
775,3
778,4.039
779,4
780,3.446
781,3.5
782,3
783,3.33
784,2.806
785,3.369
786,3.109
788,2.732
790,2
791,4
795,3.5
798,2.708
799,3.457
800,4.158
801,3.136
802,3.337
803,4
804,3.25
805,3.657
806,1.5
808,3.5
809,2.333
810,2.25
813,2.8
818,3.25
823,3.5
824,4
828,3.333
829,2.667
830,3.071
832,3.338
833,2
835,3.667
836,2.882
837,3.273
838,3.917
839,2.833
840,3.375
841,3
842,2.542
848,3.286
849,2.92
851,2.833
852,3.174
858,4.289
861,3.833
866,4
867,1.75
869,3.667
870,1
875,3.5
876,5
879,3
880,2.741
881,2.1
882,2
885,2.5
886,2.667
888,2.167
889,4
891,3.8
892,3.538
893,3.667
896,2.5
897,3.75
898,4.31
899,4.074
900,3.708
901,3
902,3.847
903,4.025
904,4.262
905,4.321
906,4.143
907,3.5
908,4.184
909,3.963
910,4.01
911,3.808
912,4.24
913,4.17
914,4.043
915,3.767
916,4.058
917,3.5
918,4.1
919,3.88
920,3.644
921,3.389
922,4.333
923,4.043
924,3.894
926,4.229
927,4
928,4.167
929,3.5
930,4.25
931,3.833
932,3.938
933,4.217
934,3.25
935,3.833
936,4
937,3.5
938,3.25
940,4
941,3.75
942,4.333
943,3.929
944,4
945,4.071
946,2.5
947,3.75
948,3.917
949,3.917
950,3.857
951,4.393
952,3.625
953,4.034
954,4.083
955,3.861
956,4
959,3.5
961,4
963,3
965,4.045
968,3.75
969,3.971
970,3.5
971,4.1
973,3.9
976,3
979,3
981,3
982,3
984,3.5
986,3.538
987,3
988,3
990,2.9
991,3.318
993,3
994,4.182
996,2.5
998,3
999,3.042
1003,2.5
1004,3
1005,2.188
1006,3.5
1007,2.6
1008,3
1009,3.056
1010,3.056
1011,2.938
1012,3.444
1013,3.208
1014,2.9
1015,2.95
1016,2.9
1017,3.5
1018,2.417
1019,3.471
1020,3.081
1021,2.333
1022,3.488
1023,3.615
1024,3.667
1025,3.58
1027,3.018
1028,3.887
1029,3.386
1030,2.767
1031,3.479
1032,3.375
1033,3.575
1034,3.1
1035,3.938
1036,3.862
1037,2.771
1040,3
1041,4.591
1042,3.274
1043,2.4
1046,4.5
1047,3.318
1049,3.476
1050,3.9
1051,4
1053,3
1054,2
1055,1.5
1056,3.071
1057,3.467
